browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,152.0.0.0,1517,852,UNIX,en-US,2026-09-15_22:27:58,2026-09-15_16:27:58,2026-09-15_17:52:16,M165949,TYYZGZ-02,M165949,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M165949&batch_id=TYYZGZ-02,6533.332

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",15705,"49",5962,3136;3624,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",19355,"20",3604,1901;2675,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",60008,"79",3636,"","79"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",388884,I played with my cat.,28202,3356;3855;3883;6375;6809;8954;9347;10046;10561;11851;12186;12386;12646;13054;13614;14035;14288;14537;14841;15645;15978;16263;16511;16965;17340;21346;21774;22752;23190;23388;23624;24052;24353;24617;24974;25222;25692;26722,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",407202,"75",3593,"","75"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",727020,I petted my cat who was sitting in my lap.,18793,2515;11771;11936;12050;12146;12343;12471;13205;13372;13449;13582;13846;13968;14079;14260;14337;14464;14630;14754;14846;14925;15066;15238;15326;15441;15669;15774;15903;16064;16111;16247;16310;16450;16527;16647;16769;16860;17044;17129;17384;17478;17690;18060,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",763123,"77",2961,"","77"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1079258,I petted my cat some more as she was still on my lap.,15518,2948;3096;3155;3321;3504;3623;3747;4296;4432;4602;4836;4957;5041;5200;5302;5412;5521;5627;5716;5810;5863;6017;6080;6129;6278;6316;6488;6621;6753;6847;6976;7080;7145;7554;7719;7795;7859;7966;8125;8174;8353;8488;8619;8915;9505;10066;10391;11533;11856;12803;13504;13695;13852;14052;14161;14261;14380;14515;14724,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1108091,"71",2667,"","71"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1418646,I went and got my clothes out of the dryer and began folding them.,9944,1710;1831;1956;2122;2250;2364;2442;2578;2748;2895;3016;3121;3190;3336;3417;3508;3706;3804;3967;4051;4221;4315;4431;4515;4643;4744;4821;4929;5029;5106;5174;5256;5351;5460;5603;5730;5816;5911;6053;6180;6307;6393;6495;6580;6686;6741;6847;6968;7136;7277;7374;7477;7566;7665;7741;7902;8013;8127;8207;8304;8431;8475;8539;8675;8768;8944,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1459184,"74",2251,"","74"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1792616,"71",2302,"","71"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2102038,I finished folding and putting away my laundry.,8793,1711;1798;1930;2003;2146;2387;2685;2821;2916;3068;3147;3253;3331;3495;3579;3686;3774;3847;3913;4008;4101;4225;4326;4448;4554;4639;4776;4877;4971;5047;5123;5195;5297;5458;5573;5646;5831;6031;6096;6233;6307;6451;6463;7702;7886;7933;8101;8215;8465,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2137035,"70",3520,"","70"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2444500,I fed my cat and cleaned out her litter box.,6930,1581;1695;1806;1931;2095;2205;2324;2551;2642;2844;2970;3139;3193;3303;3401;3521;3664;3804;4019;4143;4260;4389;4485;4638;4718;4861;4953;5064;5110;5207;5282;5369;5436;5488;5592;5747;5882;5986;6042;6123;6302;6390;6493;6684,""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2460389,"72",2715,"","72"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2772620,I flossed my teeth.,11515,5604;5704;5795;5898;6070;6141;6312;6487;6654;6722;6832;7050;7123;7237;7407;7604;7779;8016;9897;10042;10131;10303,""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2807632,"73",2504,"","73"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3117200,I deleted some pictures off of my phone.,8948,1552;1692;1941;2139;2319;2353;2684;3561;3637;3815;3929;4089;4165;4291;4377;4466;4554;4656;4753;4869;4969;5131;5221;5317;5396;5555;5661;5811;5912;6055;6149;6364;6478;6541;6653;6876;7080;7173;7348;7484;7586;7645;7831,""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3143509,"72",3639,"","72"
