browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,146.0.0.0,1366,768,Windows,en-US,2026-09-15_21:13:00,2026-09-15_17:13:00,2026-09-15_17:52:16,M829054,TYYZGZ-02,M829054,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M829054&batch_id=TYYZGZ-02,10675.662

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",66831,"30",36637,31398;32491,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",151694,"12",84844,82653;83108,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",292728,"60",43986,"","60"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",625734,waited for the timer,32427,19252;19810;20522;21194;21698;21962;22459;22874;23394;24042;24674;25178;25498;28330;28875;29722;30146;30563;31426;31659,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",784231,"65",38538,"","65"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1122598,drank some water,37807,20471;22503;27007;27366;29064;29646;29959;30360;31088;31735;32159;32822;33239;33759;34030;34478;34927;35166,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1285545,"68",30715,"","68"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1619886,stretched,33758,21741;22629;22925;24389;27957;28252;28652;28981;29237,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1736917,"70",20119,"","70"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2070317,watched the count down,32669,5301;5548;6301;6676;9341;9677;10884;11182;11429;11796;12717;12965;13252;13589;13797;14365;14662;14949;15260;16021;16308;16796;17189;17725,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2197433,"72",26893,"","72"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4214958,"75",35456,"","75"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4664154,paced up and down,148577,12185;12529;12673;16209;16481;16768;98563;99088;102328;102560;103112;103352;103840;104096;106682;107155;107633;107890;108120;108552;109121;109906;110504;110889;111425;111744;112024;112251;112696;113090;113624,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4711355,"76",7672,"","76"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5097474,watched the timer count down,85536,3528;6120;6711;7415;7704;11776;12200;12479;13921;15617;15855;16208;16833;17375;17895;18223;18640;19920;26351;26615;27304;27720;27993;28287;29249;29688;30160;31145;32016,""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5217110,"78",29537,"","78"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5707681,walked around the house,189568,160689;161064;161280;162081;162833;163921;164176;164632;165352;165648;166216;166664;167001;167257;167754;168002;168153;168408;168840;169225;169520;169824;170057,""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5753563,"81",8891,"","81"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6066321,watched the time count down,12204,1269;1627;1843;2412;2724;2886;3179;4051;4588;4828;4973;5171;5459;5997;6253;6515;6788;8180;8452;8691;8987;9259;9539;10197;10539;10781;11003;11317,""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6198067,"82",6682,"","82"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6545089,sat back and rested,46467,38892;39107;39596;40156;40427;40747;41243;41859;42172;42651;43195;43603;43907;44323;44571;44779;45139;45419;45643,""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6609947,"81",10961,"","81"
"133","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6966641,drank a glass of water,56024,43360;43617;44777;45809;46313;46793;47569;48055;48321;48879;49633;49985;50177;50609;51568;51985;52303;52610;52857;53456;53728;53952,""
"140","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",7111280,"84",28343,"","84"
"142","",test,"",box,"",What did you do during the break? (optional),word,"","","","",7448393,used the restroom,36506,21484;21857;22121;22777;22993;24275;26073;26265;26803;27043;27179;27441;28057;28947;29235;29475;29673;30042;30507;30699;30977,""
"154","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",7518256,"88",33293,"","88"
"156","",test,"",box,"",What did you do during the break? (optional),word,"","","","",7849760,got some fresh air,30716,22879;23574;23924;24333;24724;25300;25644;26006;26388;27238;27485;27709;27948;28429;28677;29004;29575;29909,""
"163","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",7980676,"76",39012,"","76"
"165","",test,"",box,"",What did you do during the break? (optional),word,"","","","",8329000,walked around,47768,36521;36808;41497;41799;42481;43367;43769;44033;44681;45009;45409;46089;46367;46648;47089,""
"177","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",8468223,"76",5194,"","76"
"179","",test,"",box,"",What did you do during the break? (optional),word,"","","","",8791496,watched the timer,22470,7399;7783;8620;9005;9366;9638;11215;15038;15357;15726;16102;16374;16790;17135;17413;17726;18102;18414;18982;19262;19879;21430;21686,""
"186","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",8936047,"75",25150,"","75"
"188","",test,"",box,"",What did you do during the break? (optional),word,"","","","",9286792,stretched a bit,50130,31947;32353;32657;32857;33376;34073;34434;34633;34891;35521;36328;36578;36896;37418;37777,""
"200","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",9336511,"80",10747,"","80"
"202","",test,"",box,"",What did you do during the break? (optional),word,"","","","",9648800,watched the countdown,11732,2285;2563;3116;3459;3765;4109;4364;4817;5140;5412;5708;6091;7620;8253;8565;8892;9221;9572;10141;10612;11235,""
"209","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",9798694,"82",25985,"","82"
"211","",test,"",box,"",What did you do during the break? (optional),word,"","","","",10131191,rested my eyes,31934,23527;23741;24247;25334;26415;26606;26943;27295;28365;28653;29007;29231;29421;29623;31151,""
"223","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",10182814,"80",16492,"","80"
"225","",test,"",box,"",What did you do during the break? (optional),word,"","","","",10518295,rested my eyes,34595,25365;25563;25874;26130;26363;26627;26939;27324;27611;27933;28139;28306;28507;29242,""
"232","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",10675662,"73",70702,"","73"
