browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,153.0.0.0,1366,768,Windows,en-US,2026-09-15_23:58:02,2026-09-16_06:58:02,2026-09-15_17:52:16,M840821,TYYZGZ-02,M840821,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M840821&batch_id=TYYZGZ-02,7207.024

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",49891,"46",11325,3407;3753,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",58532,"12",8615,4469;4735,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",125591,"70",6138,"","70"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",439914,make a coffee,13778,9200;9531;10384;10680;10824;11016;11255;11485;11624;11844;12026;12273;12492,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",477721,"60",4878,"","60"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",854095,check my phone,75392,62955;63231;63454;64012;64952;65191;65462;66756;67026;67257;67399;68026;68253;68391;68633;68907;69057;69344;69574;70623;70849;71122;71685;74187;74446;74626;74787;75107,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",907767,"55",8848,"","55"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1225094,read news,16512,13792;14836;14956;15196;15425;15538;15736;15884;16008;16319,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1246778,"60",2947,"","60"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1612666,drink coffee,64915,59581;59865;59960;60212;60465;60585;61588;61830;62017;63169;63423;63557;63790;63963;64247;64728,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1659467,"70",3185,"","70"
