browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Microsoft Edge,153.0.0.0,1368,768,Windows,en-US,2026-09-15_22:32:47,2026-09-15_23:32:47,2026-09-15_17:52:16,M021632,TYYZGZ-02,M021632,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M021632&batch_id=TYYZGZ-02,8420.967

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",55601,"46",18127,13588;14586,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",68567,"15",12901,8438;9520,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",134435,"70",6189,"","70"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",487833,i was thinking about the different cigarette packaging.,52543,2613;3654;4497;4837;5146;5822;6361;6948;7660;8034;11134;11439;11809;12190;12681;13365;14220;14911;15254;15675;16160;16632;17028;17652;18673;20422;21495;22517;22746;23256;23704;24071;25195;25809;27670;36438;37941;38439;39050;40057;40453;41156;41360;41729;42316;43568;44293;44946;45723;46593;47405;48133;48464;49103;51194,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",531977,"60",4735,"","60"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",879742,we are discussing about the cigarette contents during the break.,46824,2183;2519;3361;3882;4634;4929;5580;6050;6953;7606;8025;9389;10102;10356;12462;12830;13275;13744;14474;15412;16218;16614;17149;17731;18195;18641;19278;19852;20195;21188;22006;22685;23928;24362;25075;25329;25776;26693;28068;29114;29574;30095;30617;31508;32325;33192;33877;34427;35207;35805;36670;37053;37460;37932;38441;38836;39409;40069;40391;40825;41142;41524;42635;44050,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",924365,"58",5967,"","58"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1290397,during the break i was imagin the number of people that smoke across the contenent .,65090,1158;2118;2541;3432;3903;4297;4747;5179;5512;6021;6721;7459;7868;8160;8530;9485;9919;10479;10925;11972;12276;12584;13231;14022;14532;15359;17932;19613;20148;24126;24925;25283;25920;26531;27334;27705;28177;28648;29322;29641;30547;31437;32063;32506;33374;34102;34982;35718;36050;36761;37452;37910;38282;38969;39861;40854;42576;43530;44155;44968;45724;46396;47248;48089;48496;49351;50216;50471;51069;51477;51872;52445;53006;53362;54162;54631;55284;55731;56855;57772;58483;58929;60050;63081,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1332409,"50",4382,"","50"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1698307,i just realised during break the types of cigarette flavour that have seen and used.,64955,1999;2772;3240;3520;4182;5326;5963;6531;6964;7349;8532;8901;9703;10123;10582;11396;12418;13315;13839;14718;15151;15545;16028;16615;17352;17708;18153;19323;20033;20749;21244;22034;22902;23497;23880;24782;25764;26145;26757;27595;28242;29211;30497;31565;32163;33018;34073;34456;35092;35345;35803;36544;36987;37941;38295;42179;43211;44163;44583;45271;45906;46402;46811;47535;48526;49086;50015;50717;51417;51873;52484;53055;53433;53646;54447;54791;55605;56739;57362;58012;59359;60288;60620;61042;63305,""
