browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,152.0.0.0,1536,864,Windows,en-US,2026-09-15_23:46:29,2026-09-15_18:46:29,2026-09-15_17:52:16,M599339,TYYZGZ-02,M599339,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M599339&batch_id=TYYZGZ-02,6897.054

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",10378,"32",5826,3624;3696,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",18852,"12",8463,4474;4559,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",94659,"70",13202,"","70"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",410414,I watched an episode on youtube,14960,3746;3891;4095;4220;4384;4515;4651;4766;4938;5064;9465;10436;10567;11373;11524;11602;11765;11884;11967;12143;12267;12428;12518;12687;13560;13719;13825;14054;14189;14276;14397,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",447834,"60",15193,"","60"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",766240,Still watching youtube,17630,10872;11250;11528;11620;11852;12007;12714;12844;13050;13213;13307;13485;13588;13781;13949;14093;14215;14392;15093;15259;15349;15454,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",814379,"55",8157,"","55"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1119875,Youtube,4720,2877;3316;3402;3517;3708;3828;3919,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1160185,"50",12691,"","50"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1478303,Just little youtube videos still,17327,4346;4766;4848;5043;5205;5314;5447;9668;9918;10066;10273;10444;10636;10739;10848;11022;11176;11296;11543;11889;12050;12136;12266;12427;12514;12629;12822;13220;13385;13884;14122;15623;15855;15999;16073;16306;16443;16585;16698;16761;16959,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1536103,"85",13926,"","85"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1883966,"90",13177,"","90"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2201535,The same thing,16786,8451;11503;11893;11907;12176;14658;15000;15086;15264;15349;15492;15605;15771;15887;16012;16068;16149;16294;16416,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2242167,"90",7061,"","90"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2546363,Youtube,3394,2140;2489;2579;2696;2874;2985;3063,""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2583429,"85",10983,"","85"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2913045,TikTok this time,28846,12481;12884;13102;13461;13612;14677;18327;18465;18565;18634;19952;20059;20160;20356;20489;20629;21045;24882;25242;25425;25924;26582;26635;26820;26965;27050;27196;27239;27602;27729;27816;27874;28011,""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2954923,"75",8348,"","75"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3265111,Back to youtube,9393,4413;4702;5068;5501;5732;6496;6601;6705;7145;7285;7395;8162;8342;8421;8551,""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3300655,"75",7575,"","75"
