browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,152.0.0.0,1536,864,Windows,en-US,2026-09-16_03:12:15,2026-09-16_08:42:15,2026-09-15_17:52:16,M027179,TYYZGZ-02,M027179,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M027179&batch_id=TYYZGZ-02,8080.336

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",20285,"31",12280,2733;2959,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",25585,"15",5286,2796;4610,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",81071,"98",7944,"","98"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",473837,Smoking,14001,7928;10261;11012;11250;11407;11871;13166;13382;13625,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",694342,"99",3099,"","99"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1052656,thinking,14936,12819;13022;13345;13560;13788;13988;14183;14399,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1294995,"80",2658,"","80"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1687349,Browsing,40900,38179;38351;38487;38604;38895;39689;39834;40020;40150,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1706218,"100",4155,"","100"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2094684,Smoking,6837,5201;5359;5919;6104;6273;6434;6599,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2245427,"79",2864,"","79"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2588686,"100",3474,"","100"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2903052,Watching the screen,13508,8102;8677;8880;9091;9261;9471;9657;10406;11134;11295;11412;11536;11661;11813;11921;12137;12344;12474;12585,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2979970,"87",1999,"","87"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3307584,scrolling mobile phone,23138,1576;2679;3758;5856;7040;8154;16838;17055;17206;18745;19053;19289;19637;19819;19941;20147;20332;20476;20597;20809;21034;21203;21487;21684;21822;22048;22295;22477;22592;22776;22917,""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3324202,"99",3001,"","99"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3633835,Nothing,8880,1473;2682;7610;7809;7909;8056;8241;8438;8600,""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3684323,"80",4397,"","80"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4050817,Nothing,20865,9150;12839;14977;17846;18658;18866;18974;19180;19352;20277,""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4175838,"71",47095,"","71"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4579481,Smoking,56472,1758;14099;15287;52357;54800;54991;55521;55729;55910;56077;56273,""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4702637,"82",2172,"","82"
"133","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5030817,Scrolling mobile,8368,1921;5552;5752;5964;6105;6271;6401;6624;6794;6905;6996;7144;7331;7440;7600;7983;8171,""
"140","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5046462,"79",2281,"","79"
"142","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5425528,Watching the screen,17643,2846;5653;5834;6663;6827;8002;9600;9822;10039;13668;13953;14143;14389;14505;14727;14935;15097;15534;15803;15894;16048;16167;16310;16486;16668;16849;17010;17193,""
"154","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5472663,"90",2200,"","90"
"156","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5787515,Smoking,13871,5592;12340;12517;12942;13112;13285;13451;13686,""
"163","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5803793,"90",2253,"","90"
"165","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6111116,nothing,6451,3724;3897;4499;4764;5155;5391;5634;5850;6063,""
"177","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6171475,"89",2589,"","89"
"179","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6518826,Relx,41039,30584;30827;30852;31585;31761;31954;32125;37144;37429;39087;39213;39420;40262;40547;40740,""
"186","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6534750,"89",2383,"","89"
"188","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6856538,Relaxing,21052,18632;18768;18995;19168;19385;20094;20334;20696,""
"200","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6895777,"80",1906,"","80"
"202","",test,"",box,"",What did you do during the break? (optional),word,"","","","",7241902,Went for washroom,6487,3255;3574;3799;3956;4064;4254;4389;4495;4646;5024;5171;5304;5419;5611;5786;5916;6105,""
"209","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",7256534,"80",2658,"","80"
"211","",test,"",box,"",What did you do during the break? (optional),word,"","","","",7567334,relaxing,10229,6275;6490;7222;8271;8518;9152;9415;9682,""
"223","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",7639760,"89",39904,"","89"
"225","",test,"",box,"",What did you do during the break? (optional),word,"","","","",8062959,Watching on screen,11528,2552;2831;3008;3662;3948;5269;5480;5629;5767;5983;8020;8189;8347;8629;8778;8977;9149;9301;9411;9644;9831;10022;10184;10414;10639;10828;10982;11125,""
"232","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",8080336,"100",5347,"","100"
